Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2014-10-23,119.49219,119.57031,119.04688,,0.25,119.16406,824.0,10194.0
2014-10-22,119.38281,119.66406,119.29688,,0.1625,119.41406,1693.0,9887.0
2014-10-21,119.67969,119.85156,119.42969,,0.046875,119.57812,1286.0,10191.0
2014-10-20,119.49219,119.66406,119.34375,,0.15625,119.625,5837.0,6797.0
2014-10-17,119.57812,119.85156,119.39062,,0.209375,119.46875,1655.0,5697.0
2014-10-16,119.95312,120.54688,119.5625,,0.303125,119.67969,3885.0,5010.0
2014-10-15,120.03906,121.01562,119.13281,,0.75625,119.98438,3508.0,3070.0
2014-10-14,0.0,119.39844,119.00781,,0.115625,119.22656,378.0,2882.0
2014-10-13,119.17188,119.23438,119.11719,,0.453125,119.10938,8.0,2313.0
2014-10-10,118.44531,118.78125,118.42969,,0.078125,118.65625,461.0,2094.0
2014-10-09,118.70312,118.85156,118.53125,,0.03125,118.57812,2289.0,1113.0
2014-10-08,118.29688,118.66406,118.13281,,0.365625,118.54688,403.0,688.0
2014-10-07,118.10938,118.25,117.86719,,0.296875,118.17969,732.0,35.0
2014-10-06,0.0,117.86719,0.0,,0.25625,117.88281,0.0,35.0
2014-10-03,0.0,0.0,117.5,,0.1875,117.625,0.0,35.0
2014-10-02,0.0,0.0,117.86719,,0.078125,117.8125,0.0,35.0
2014-10-01,0.0,117.86719,0.0,,0.490625,117.89062,0.0,35.0
2014-09-30,117.39062,117.39062,117.38281,,0.053125,117.39844,2.0,34.0
2014-09-29,0.0,0.0,0.0,,0.140625,117.45312,0.0,34.0
2014-09-26,0.0,0.0,117.49219,,0.209375,117.3125,0.0,34.0
2014-09-25,0.0,0.0,0.0,,0.28125,117.52344,0.0,34.0
2014-09-24,0.0,0.0,0.0,,0.171875,117.24219,0.0,34.0
2014-09-23,0.0,0.0,0.0,,0.125,117.41406,0.0,34.0
2014-09-22,0.0,0.0,0.0,,0.203125,117.28906,0.0,34.0
2014-09-19,0.0,0.0,0.0,,0.084375,117.08594,0.0,34.0
2014-09-18,0.0,0.0,117.0,,0.25625,117.0,0.0,34.0
2014-09-17,0.0,0.0,0.0,,0.1625,117.25781,0.0,34.0
2014-09-16,0.0,0.0,0.0,,0.115625,117.42188,0.0,34.0
2014-09-15,0.0,0.0,0.0,,0.1,117.30469,0.0,34.0
2014-09-12,0.0,0.0,0.0,,0.15625,117.20312,0.0,34.0
2014-09-11,0.0,0.0,0.0,,0.00625,117.35938,0.0,34.0
2014-09-10,0.0,0.0,0.0,,0.084375,117.35156,0.0,34.0
2014-09-09,0.0,0.0,0.0,,0.21875,117.4375,0.0,34.0
2014-09-08,0.0,0.0,0.0,,0.146875,117.65625,0.0,34.0
2014-09-05,0.0,0.0,0.0,,0.1625,117.80469,0.0,34.0
2014-09-04,0.0,0.0,0.0,,0.34375,117.64062,0.0,34.0
2014-09-03,0.0,0.0,0.0,,0.00625,117.98438,0.0,34.0
2014-09-02,0.0,0.0,0.0,,0.303125,117.99219,0.0,34.0
2014-08-29,0.0,0.0,0.0,,0.03125,118.29688,0.0,34.0
2014-08-28,0.0,0.0,0.0,,0.115625,118.26562,0.0,34.0
2014-08-27,0.0,0.0,0.0,,0.115625,118.14844,0.0,34.0
2014-08-26,0.0,0.0,0.0,,0.046875,118.03125,0.0,34.0
2014-08-25,0.0,0.0,0.0,,0.0375,117.98438,0.0,34.0
2014-08-22,0.0,0.0,0.0,,0.171875,118.02344,0.0,34.0
2014-08-21,0.0,0.0,0.0,,0.03125,118.19531,0.0,34.0
2014-08-20,0.0,0.0,0.0,,0.271875,118.16406,0.0,34.0
2014-08-19,0.0,0.0,0.0,,0.0625,118.4375,0.0,34.0
2014-08-18,0.0,0.0,0.0,,0.109375,118.5,0.0,34.0
2014-08-15,0.0,0.0,0.0,,0.146875,118.60938,0.0,34.0
2014-08-14,0.0,0.0,0.0,,0.015625,118.46094,0.0,34.0
2014-08-13,0.0,0.0,0.0,,0.171875,118.44531,0.0,34.0
2014-08-12,0.0,0.0,0.0,,0.109375,118.27344,0.0,34.0
2014-08-11,0.0,0.0,0.0,,0.1625,118.38281,0.0,34.0
2014-08-08,0.0,0.0,0.0,,0.046875,118.54688,0.0,34.0
2014-08-07,0.0,0.0,0.0,,0.25,118.59375,0.0,34.0
2014-08-06,0.0,0.0,0.0,,0.078125,118.34375,0.0,34.0
2014-08-05,0.0,0.0,0.0,,0.03125,118.26562,0.0,34.0
2014-08-04,0.0,0.0,0.0,,0.078125,118.29688,0.0,34.0
2014-08-01,0.0,0.0,0.0,,0.475,118.375,34.0,0.0
2014-07-31,0.0,0.0,0.0,,0.03125,117.89844,0.0,0.0
2014-07-30,0.0,0.0,0.0,,0.359375,117.86719,0.0,0.0
2014-07-29,0.0,0.0,0.0,,0.115625,118.22656,0.0,0.0
