Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2013-12-20,119.78906,119.78906,119.40625,,,119.61719,592049.0,1822370.0
2013-12-19,120.07812,120.10938,119.5625,,,119.75,956372.0,1751651.0
2013-12-18,120.27344,120.46094,119.78125,,,120.21875,789449.0,1721425.0
2013-12-17,120.07031,120.30469,120.0625,,,120.28125,399593.0,1742657.0
2013-12-16,120.09375,120.19531,120.04688,,,120.09375,322995.0,1757075.0
2013-12-13,120.07031,120.15625,119.97656,,,120.07812,405332.0,1781086.0
2013-12-12,120.23438,120.28906,120.01562,,,120.08594,595963.0,1783606.0
2013-12-11,120.44531,120.47656,120.22656,,,120.30469,367995.0,1786824.0
2013-12-10,120.3125,120.52344,120.28125,,,120.49219,415786.0,1792681.0
2013-12-09,120.25,120.38281,120.17969,,,120.25,387257.0,1801472.0
2013-12-06,120.30469,120.39844,119.99219,,,120.21094,864616.0,1812407.0
2013-12-05,120.54688,120.59375,120.28906,,,120.35156,561878.0,1817813.0
2013-12-04,120.78906,120.79688,120.44531,,,120.53125,726837.0,1818498.0
2013-12-03,120.67969,120.84375,120.60938,,,120.80469,511790.0,1801794.0
2013-12-02,120.85156,120.90625,120.5625,,,120.64844,668907.0,1729754.0
2013-11-29,120.92969,120.94531,120.76562,,,120.92188,313662.0,1703397.0
2013-11-27,121.0625,121.07031,120.75781,,,120.97656,787337.0,1405388.0
2013-11-26,120.92969,121.09375,120.82031,,,121.08594,1008073.0,913718.0
2013-11-25,120.83594,120.91406,120.71875,,,120.88281,713771.0,506577.0
2013-11-22,120.78906,120.84375,120.6875,,,120.8125,328624.0,283418.0
2013-11-21,120.65625,120.875,120.53906,,,120.78125,210877.0,160610.0
2013-11-20,120.80469,121.0,120.64844,,,120.75,143347.0,92874.0
2013-11-19,120.97656,121.0,120.74219,,,120.75781,68720.0,59150.0
2013-11-18,120.85156,121.02344,120.78125,,,120.95312,26972.0,46093.0
2013-11-15,120.85156,120.88281,120.71875,,,120.8125,8068.0,42839.0
2013-11-14,120.80469,120.89844,120.64062,,,120.85156,12535.0,42186.0
2013-11-13,120.34375,120.79688,120.34375,,,120.53906,11813.0,35322.0
